station,di_unconditional,mean_unconditional,var_unconditional,n_obs_unconditional,di_cond_hour_mean,di_cond_hour_median,di_cond_hour_max,di_cond_hour_min,n_hours_tested,di_cond_hour_day_mean,di_cond_hour_day_median,n_bins_hour_day,poisson_plausible_cond_hour
Nanhu_Financial Industrial Park,4.087348358143944,1.0771288706739526,4.402600921058621,17568,2.404847092927587,2.529032931240625,4.691385222164976,1.3296483898399085,24,2.388277165671699,2.384862144949666,48,False
Nanhu_Technology Park,2.1109026272186733,1.643158014571949,3.4685465698953464,17568,1.633395799540094,1.6374441252996565,1.9548119502894443,1.2191518467852258,24,1.6252839237783423,1.626703687102611,48,True
Nanhu_Tourist Attraction,4.003744102274695,1.346709927140255,5.391881928262579,17568,3.4341771744405443,3.3620168521059304,6.024314069638386,1.823905232933961,24,3.369894281248919,3.4083431080456466,48,False
Tongxiang_Bus Station,3.1591161107863126,3.4613501821493626,10.93480712550119,17568,2.021117765202398,2.061401224298227,2.7537838389842126,1.4659126808618184,24,1.9720310822111171,1.9817239651682996,48,False
Tongxiang_Industrial Park,2.26171762211022,1.0456511839708562,2.3649677093673014,17568,1.8189350038726204,1.6995756631915016,3.5329724567935292,1.24525673703425,24,1.8927289600608415,1.690387003009569,48,True
Tongxiang_Park A,3.586525529945771,1.5849840619307833,5.684585802671903,17568,2.399771609116179,2.435622290169608,3.519865561203306,1.5087244200005587,24,2.351713864713696,2.3658613886369224,48,False
Tongxiang_Park B,2.673569443148597,3.2612704918032787,8.719233132727442,17568,1.7878403390074655,1.793984833269062,2.042983330341502,1.4476728711057194,24,1.789373062682703,1.789594287693599,48,True
Tongxiang_Shopping Mall,3.3526646007127447,3.2220514571948997,10.802457862212256,17568,2.1246237202153826,2.169696288206261,2.844975683633445,1.4137129023625947,24,2.085163303693326,2.0955699405078776,48,False
Xiuzhou_Expressway Service District A,3.289821026364732,0.858094262295082,2.822976546701294,17568,2.9448961365160233,2.727224928313823,5.695457484571634,1.7826851670900918,24,2.856737878881629,2.50398027853642,48,False
Xiuzhou_Expressway Service District B,2.509239791547302,0.7058857012750456,1.7712364899236164,17568,2.092117070949954,2.201093753234359,2.6044176036835607,1.409825614598967,24,2.074419036869893,2.1043103156745184,48,False
Xiuzhou_Expressway Service District C,4.281559287953383,2.856728142076503,12.23125090986546,17568,3.042480274142021,3.1038345710067956,3.922660137079279,2.0206324937635793,24,2.9979271842821777,3.0864546968599855,48,False
Xiuzhou_Government Agency,2.8015884333180545,2.0805441712204007,5.828828485098373,17568,2.059404361624301,2.0909462178038662,2.761564319545745,1.2789139205873696,24,2.024263359298089,2.0408668240673453,48,False
Xiuzhou_Wholesale Market,3.532929033900102,1.963285519125683,6.936148412354759,17568,2.8083356743190375,2.80160085054149,3.535369972964386,2.3026503557755706,24,2.7894237751171524,2.7397549733851774,48,False
