station,sizing_scenario,dominant_type,peak_lambda_per_hour,rho_total,cv,cv_source,service_param_scope,station_mix_json,mix_coverage,cv_squared,mgs_correction_factor,probability_metric,mgs_tail_method,s_star_mms_5pct,s_star_mgs_5pct,s_gap_5pct,s_star_mms_10pct,s_star_mgs_10pct,s_star_mms_20pct,s_star_mgs_20pct
Nanhu_Technology Park,historical_avg,DC_Fast,2.7773224043715845,2.7016135622842983,1.411135380221413,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4219004399487304, ""Level_2"": 0.3463123982402051, ""Mixed"": 0.23178716181106454}",1.0,1.991303061312632,1.4956515306563158,p_wait_gt_15min,Allen-Cunneen mean + exponential moment match,6,6,0,5,6,5,5
Nanhu_Technology Park,recent_quarter,DC_Fast,2.7773224043715845,2.7016135622842983,1.411135380221413,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4219004399487304, ""Level_2"": 0.3463123982402051, ""Mixed"": 0.23178716181106454}",1.0,1.991303061312632,1.4956515306563158,p_wait_gt_15min,Allen-Cunneen mean + exponential moment match,6,6,0,5,6,5,5
Nanhu_Technology Park,stress_case,DC_Fast,3.3327868852459015,3.2419362747411578,1.411135380221413,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4219004399487304, ""Level_2"": 0.3463123982402051, ""Mixed"": 0.23178716181106454}",1.0,1.991303061312632,1.4956515306563158,p_wait_gt_15min,Allen-Cunneen mean + exponential moment match,7,7,0,6,6,5,6
Tongxiang_Bus Station,historical_avg,Level_2,5.577868852459017,6.05758472348803,1.4249618284694399,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.31636764294759, ""Level_2"": 0.4575474025226529, ""Mixed"": 0.2260849545297571}",1.0,2.030516212594969,1.5152581062974846,p_wait_gt_15min,Allen-Cunneen mean + exponential moment match,10,11,1,10,10,9,9
Tongxiang_Bus Station,recent_quarter,Level_2,7.9010989010989015,8.580620532331963,1.4249618284694399,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.31636764294759, ""Level_2"": 0.4575474025226529, ""Mixed"": 0.2260849545297571}",1.0,2.030516212594969,1.5152581062974846,p_wait_gt_15min,Allen-Cunneen mean + exponential moment match,13,14,1,12,13,11,12
Tongxiang_Bus Station,stress_case,Level_2,9.481318681318681,10.296744638798355,1.4249618284694399,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.31636764294759, ""Level_2"": 0.4575474025226529, ""Mixed"": 0.2260849545297571}",1.0,2.030516212594969,1.5152581062974846,p_wait_gt_15min,Allen-Cunneen mean + exponential moment match,15,16,1,14,15,13,14
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,1.758722346550973,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,2.073181908450528,1.536590954225264,p_wait_gt_15min,Allen-Cunneen mean + exponential moment match,5,5,0,4,4,4,4
Xiuzhou_Expressway Service District A,recent_quarter,DC_Fast,3.5164835164835164,3.5986226389009235,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,2.073181908450528,1.536590954225264,p_wait_gt_15min,Allen-Cunneen mean + exponential moment match,7,8,1,7,7,6,6
Xiuzhou_Expressway Service District A,stress_case,DC_Fast,4.21978021978022,4.318347166681108,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,2.073181908450528,1.536590954225264,p_wait_gt_15min,Allen-Cunneen mean + exponential moment match,8,8,0,7,8,7,7
Xiuzhou_Government Agency,historical_avg,Level_2,3.702185792349727,3.813275553667837,1.4263301200492933,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.3835736368362015, ""Level_2"": 0.40518727257804166, ""Mixed"": 0.21123909058575688}",1.0,2.0344176113598316,1.5172088056799158,p_wait_gt_15min,Allen-Cunneen mean + exponential moment match,8,8,0,7,7,6,6
Xiuzhou_Government Agency,recent_quarter,Level_2,5.428571428571429,5.591464037998131,1.4263301200492933,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.3835736368362015, ""Level_2"": 0.40518727257804166, ""Mixed"": 0.21123909058575688}",1.0,2.0344176113598316,1.5172088056799158,p_wait_gt_15min,Allen-Cunneen mean + exponential moment match,10,10,0,9,9,8,8
Xiuzhou_Government Agency,stress_case,Level_2,6.514285714285714,6.709756845597758,1.4263301200492933,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.3835736368362015, ""Level_2"": 0.40518727257804166, ""Mixed"": 0.21123909058575688}",1.0,2.0344176113598316,1.5172088056799158,p_wait_gt_15min,Allen-Cunneen mean + exponential moment match,11,11,0,10,11,9,10
